VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD
미동산수목원,충북,청주시,1.0,66.0,4.2,0.0,1.0,4.2,충북 청주시 상당구 미원면 수목원길 51,충북 청주시 상당구 미원면 미원리 20,127.6656807,36.62636596
천리포수목원,충남,태안군,1.0,88.0,4.133333333333334,0.0666666666666666,1.6666666666666667,4.066666666666666,충남 태안군 소원면 천리포1길 187,충남 태안군 소원면 의항리 868,126.1494973,36.79886391
완도타워,전남,완도군,13.0,54.0,4.2,0.0,1.7,4.0,전남 완도군 완도읍 장보고대로 330,전남 완도군 완도읍 군내리 205-2,126.7665675,34.31070402
안면도쥬라기박물관,충남,태안군,2.0,66.0,3.4,0.0,2.2,3.0,충남 태안군 남면 곰섬로 37-20,충남 태안군 남면 신온리 641-3,126.3106942,36.60928333
디오션리조트 워터파크,전남,여수시,6.0,257.1428571428572,4.571428571428571,0.1428571428571428,2.0,4.571428571428571,전남 여수시 소호로 295,전남 여수시 소호동 924,127.644081,34.73097628
안면도자연휴양림,충남,태안군,1.0,51.42857142857143,4.0,0.2857142857142857,1.1428571428571428,4.285714285714286,충남 태안군 안면읍 안면대로 3195-6,충남 태안군 안면읍 승언리 136-1,126.3600411,36.49752241
뿌리공원,대전,중구,1.0,75.0,4.5,0.5,1.6666666666666667,4.166666666666667,대전 중구 뿌리공원로 79,대전 중구 침산동 364,127.3883847,36.28464848
무창포해수욕장,충남,보령시,1.0,114.375,4.3125,0.375,2.625,4.0625,충남 보령시 웅천읍 열린바다1길 10,충남 보령시 웅천읍 관당리 799-1,126.5366335,36.24531237
수생식물학습원,충북,옥천군,1.0,96.42857142857144,4.5,0.0,1.4285714285714286,4.428571428571429,충북 옥천군 군북면 방아실길 248,충북 옥천군 군북면 대정리 100-10,127.5533297,36.39074352
성안길,충북,청주시,4.0,72.85714285714286,4.428571428571429,0.4285714285714285,1.2857142857142858,4.571428571428571,,충북 청주시 상당구 북문로1가 210-1,127.489014,36.63585125
독립기념관 단풍나무길,충남,천안시,7.0,54.0,4.6,0.2,1.2,4.6,충청남도 천안시 동남구 목천읍 독립기념관로 1,충남 천안시 동남구 목천읍 남화리,127.2177369,36.7832869
NC백화점 청주점,충북,청주시,4.0,65.0,3.8333333333333335,0.1666666666666666,1.1666666666666667,4.166666666666667,충북 청주시 흥덕구 2순환로 1233,충북 청주시 흥덕구 가경동 1416-3,127.4311307,36.62621641
최명희문학관,전북,전주시,3.0,34.285714285714285,4.285714285714286,0.2857142857142857,0.8571428571428571,3.7142857142857135,전북 전주시 완산구 최명희길 29,전북 전주시 완산구 풍남동3가 67-5,127.1513151,35.81574877
갓버터도나스,전남,여수시,4.0,37.5,3.75,0.125,1.25,3.25,전남 여수시 통제영5길 10-1,전남 여수시 중앙동 588,127.7358873,34.74093678
박지도,전남,신안군,7.0,108.46153846153848,4.230769230769231,0.1538461538461538,1.7692307692307692,4.230769230769231,,전남 신안군 안좌면 박지리,126.1290917,34.70728338
뚜쥬루 돌가마점,충남,천안시,13.0,78.0,4.5,0.0,1.1,4.4,충남 천안시 동남구 풍세로 706,충남 천안시 동남구 구룡동 564-27,127.1393507,36.77312643
변산반도국립공원,전북,부안군,1.0,132.85714285714286,4.571428571428571,0.1428571428571428,1.4285714285714286,4.714285714285714,,전북 부안군 변산면,126.5864688,35.64840561
오목교,전북,전주시,1.0,42.0,4.4,0.2,1.4,4.2,,전북 전주시 완산구 교동,127.1553316,35.81448549
피나클랜드 수목원,충남,아산시,1.0,111.0,4.3,0.1,1.3,4.2,충남 아산시 영인면 월선길 20-42,충남 아산시 영인면 월선리 346-2,126.9272757,36.87370813
광주비엔날레,광주,북구,2.0,116.66666666666669,4.277777777777778,0.1111111111111111,0.5555555555555556,4.166666666666667,광주 북구 비엔날레로 111,광주 북구 용봉동 산 149-2,126.8891256,35.1824687
전남대학교 광주캠퍼스,광주,북구,2.0,55.0,4.5,0.1666666666666666,1.0,4.666666666666667,광주 북구 용봉로 77,광주 북구 용봉동 300,126.9085653,35.17596182
육거리종합시장,충북,청주시,4.0,53.333333333333336,3.888888888888889,0.2777777777777778,1.3333333333333333,3.611111111111111,충북 청주시 상당구 상당로1번길 17,충북 청주시 상당구 석교동 126-38,127.4900878,36.6281476
함평엑스포공원,전남,함평군,6.0,145.0,4.166666666666667,0.3333333333333333,0.8333333333333334,4.0,전남 함평군 함평읍 곤재로 27,전남 함평군 함평읍 수호리 1153-1,126.5200834,35.05639569
수안보족욕체험장,충북,충주시,13.0,42.0,5.0,0.6,2.0,4.8,,충북 충주시 수안보면 온천리 796-3,127.9864807,36.84416127
운주사,경기,포천시,2.0,81.42857142857143,4.142857142857143,0.2857142857142857,1.4285714285714286,4.285714285714286,전남 화순군 도암면 천태로 91-44,전남 화순군 도암면 대초리 21,126.8798826,34.92574836
충주호,충북,충주시,1.0,36.0,4.0,0.2,1.0,3.8,,충북 충주시 동량면 사기리,128.0895896,36.98001865
옥천성당,충북,옥천군,2.0,40.0,3.8333333333333335,0.0,0.6666666666666666,3.5,충북 옥천군 옥천읍 중앙로 91,충북 옥천군 옥천읍 삼양리 158-2,127.5712231,36.30498345
적벽강,전북,부안군,7.0,45.0,3.5,0.5,1.6666666666666667,3.6666666666666665,,전북 부안군 변산면 격포리 252-9,126.4611475,35.63590695
롯데몰 수원점,경기,수원시,4.0,114.54545454545456,4.090909090909091,0.4545454545454545,1.0909090909090908,4.363636363636363,경기 수원시 권선구 세화로 134,경기 수원시 권선구 서둔동 296-77,126.9972989,37.26398819
쏠비치진도 인피니티풀,전남,진도군,6.0,183.3333333333333,4.777777777777778,0.0,2.4444444444444446,4.777777777777778,전남 진도군 의신면 송군길 30-40,전남 진도군 의신면 초사리 1204,126.327957,34.40073398
모사금해수욕장,전남,여수시,1.0,330.0,4.8,0.4,3.4,4.8,전라남도 여수시 오천3길 58,전남 여수시 오천동 908,127.756293,34.79625899
GS칼텍스 예울마루,전남,여수시,3.0,78.0,4.2,0.2,0.6,4.0,전남 여수시 예울마루로 100,전남 여수시 시전동 1002,127.6654299,34.75073921
지산유원지,광주,동구,6.0,114.0,3.6,0.0,0.8,2.8,광주 동구 지호로164번길 35-1,광주 동구 지산동 산 56-1,126.9491012,35.14940005
천안박물관,충남,천안시,2.0,55.71428571428572,4.285714285714286,0.0,0.7142857142857143,4.142857142857143,충남 천안시 동남구 천안대로 429-13,충남 천안시 동남구 삼룡동 260-11,127.1633392,36.7867478
순천 전통야생차체험관,전남,순천시,13.0,90.0,4.857142857142857,0.1428571428571428,0.8571428571428571,4.857142857142857,전남 순천시 승주읍 선암사길 450-1,전남 순천시 승주읍 죽학리 산 48-1,127.3344221,34.99471445
청풍랜드,충북,제천시,6.0,42.0,3.8,0.2,0.6,3.2,충북 제천시 청풍면 청풍호로50길 6,충북 제천시 청풍면 교리 147,128.1793425,37.0125855
태조산공원,충남,천안시,1.0,50.0,4.0,0.1666666666666666,0.5,3.8333333333333335,충남 천안시 동남구 태조산길 261,충남 천안시 동남구 유량동 21,127.1903606,36.82265113
NC백화점 중앙로역점,대전,중구,4.0,30.0,4.166666666666667,0.3333333333333333,1.1666666666666667,4.166666666666667,대전 중구 중앙로 141,대전 중구 선화동 3-12,127.4250106,36.32886107
스타필드 안성,경기,안성시,4.0,105.0,4.0,0.3333333333333333,1.3333333333333333,4.083333333333333,경기 안성시 공도읍 서동대로 3930-39,경기 안성시 공도읍 진사리 354,127.1470947,36.99502539
우수영국민관광지,전남,해남군,1.0,60.0,4.4,0.0,2.8,4.2,전남 해남군 문내면 관광레저로 12,전남 해남군 문내면 학동리 산 36,126.309753,34.57236339
전남도립미술관,전남,광양시,3.0,86.25,4.375,0.125,1.5,4.125,전남 광양시 광양읍 순광로 660,전남 광양시 광양읍 인동리 466,127.5888513,34.96769919
계룡산국립공원,충남,공주시,1.0,228.75,4.25,0.25,1.375,4.625,충청남도 공주시 반포면 동학사1로 326,충남 공주시 반포면 학봉리 산 18,127.2274765,36.35431247
국사봉,인천,중구,1.0,54.0,3.6,0.4,1.0,3.4,,전북 임실군 운암면 입석리 산 48,127.1457666,35.6456502
월영산 출렁다리,충남,금산군,13.0,63.75,4.75,0.0,0.875,4.625,,충남 금산군 제원면 천내리 168-5,127.5959214,36.11478807
무각사,광주,서구,2.0,48.0,4.0,0.0,0.8,3.6,광주 서구 운천로 230,광주 서구 쌍촌동 1268-1,126.85669,35.15436279
이마트 서산점,충남,서산시,4.0,55.0,4.166666666666667,0.1666666666666666,1.3333333333333333,4.0,충남 서산시 서해로 3685,충남 서산시 잠홍동 463,126.4786894,36.78835966
국립광주과학관,광주,북구,3.0,170.0,4.333333333333333,0.1666666666666666,2.0,3.8333333333333335,광주 북구 첨단과기로 235,광주 북구 오룡동 1-6,126.8499256,35.2298556
나주향교,전남,나주시,2.0,30.0,4.0,0.0,1.1666666666666667,3.5,전남 나주시 향교길 38,전남 나주시 교동 32-3,126.7114668,35.03403128
삽교호 함상공원,충남,당진시,1.0,38.57142857142857,3.571428571428572,0.0,1.1428571428571428,3.4285714285714284,충남 당진시 신평면 삽교천3길 79,충남 당진시 신평면 운정리 197-3,126.8261565,36.88984104
